username,tweet
kr3at,"Canada reports 2 new cases bringing total confirmed cases there to 51, with 14 new cases reported today.… https://t.co/eaMRe0t1ue"
NearyColeen,RT @TheDailyEdge: “I am currently sick in quarantine after caring for a patient who test positive... awaiting permission from the federal g…
mandarinaemma,"RT @Annuit_Coeptus: #Coronavirus #COVID19 ☣️

Moscú decreta la alerta por coronavirus y considera a España como uno de los países ""de alto…"
BlumpCon,"RT @FPVaughanIII: IMPORTANT: FPV #146 – Coronavirus Update Full Of Key Information 03/06/2020

I think the content in this one stands out i…"
johnnymauler,RT @News12NJ: Developing news out of a #Camden County #Coronavirus https://t.co/Eod8xwpcbl
BadeenRod,"RT @mahya_saber: Devastating update from #iran on #coronavirus
According to state-run media, presently in Kerman, a health mask that used t…"
deuceohsixx,"QT RT @NaveedAJamali: My wife, the Harvard trained scientist who is currently a critical employee and is going into work in #seattle, while ev…"
news08151,"QT RT @GtzFrmming: Während erste Krankenhäuser vor dem #coronavirus in die Knie gehen, Italien erstmals in seiner Geschichte alle Schulen und…"
bianca_caimi,"RT @FBiasin: ""Dalla Francia alla Germania, la gente prende d'assalto i supermercati""

Evidentemente non siamo i più stronzi d'Europa, al li…"
MassimoMonetti,"RT @janavel7: Almeno il #coronavirus potrà insegnarci che:
1- La sanita pubblica è importante
2- La ricerca è importante (non solo nella sa…"
ShowMeVegas_MO,"Less than a week to go!  No #coronavirus gonna hold us down, oh no, we got to keep on movin’.

#vegas… https://t.co/ecXRURY2as"
Bookolic77,RT @julialindau: I just landed at JFK after reporting on #coronavirus in Milan and Lombardy —the epicenter of Italy’s  outbreak— for @vicen…
TraperoM,RT @ONT_esp: Os dejamos un gráfico con las recomendaciones para pacientes trasplantados en relación al #coronavirus #COVIDー19 https://t.co/…
FrancescaCanovi,RT @paolamad17: Acquistato il giorno della sua uscita. Sono felice del successo che sta avendo.Sono felice di aver intuito che fosse un gra…
hphcabreado,"RT @JacoboMendioroz: Para ello, según van avanzando los conocimientos sobre el brote y se van registrando brotes se crean “posibles escenar…"
alyzcias,"RT @BBC_Hyung: WOW. A man in Incheon, west of Seoul - who contracted #coronavirus - has documented his symptoms and activities for past 25…"
acaringmind,"RT @SolentNHSTrust: The new 111 online #coronavirus service can quickly tell you what to do if you think you have symptoms, or you think yo…"
Capt_Al_Key10,RT @julialindau: I just landed at JFK after reporting on #coronavirus in Milan and Lombardy —the epicenter of Italy’s  outbreak— for @vicen…
chippy_8888,"RT @CoronavirusCast: https://t.co/99ZVaOLiLs

#coronavirus is undergoing active recombination according to research in the Clinical Infecti…"
LorryWalthers,RT @julialindau: I just landed at JFK after reporting on #coronavirus in Milan and Lombardy —the epicenter of Italy’s  outbreak— for @vicen…
soysergio,"RT @LAVOZcomar: ""Cada época, lo demuestra la historia, se crea –y se cree– sus propios apocalipsis. Cada sociedad genera la idea de un futu…"
reinimau,DPG meeting #DPGDD20 in Dresden not happening this year due to #coronavirus. We still had our mock talks and ran ou… https://t.co/EqZaIrBzZ2
4Tchat,QT RT @zorgatorus: Whaouw ! A ce niveau là c’est plus de l’amateurisme... #coronavirus #COVIDー19 #CoronavirusFrance #COVID19fr https://t.co/px…
LaperGris,"RT @Hectorandrehere: corona virus =0 muertes 
carabineros = 31 muertes

a quien hay que tenerle panico ?? @gblumel #coronavirus #PacosQls"
CalTexInteriors,"RT @ConstructConnx: 10 years of +1.6% or more annual U.S. GDP growth: https://t.co/seF70D6liX 

#economy #construction #banking #developers…"
Nelladagenova,RT @Quirinale: #coronavirus - in considerazione del suo esemplare comportamento il Presidente #Mattarella in data di ieri ha conferito motu…
CostelloSean,Does the #coronavirus only come out at night in Ireland? Every case is announced around 8pm. Unlike other countries… https://t.co/rHyYWNQWiP
Mikepeerson,"RT @SkyNews: Dorothy has been spotted trying to talk to her 89-year-old husband through a window at the care facility, where he is being qu…"
Ben3Dover,"RT @AlexanderKekule: Wenn wir jetzt 14 Tage #Coronaferien für Schulen, Kitas und Grossveranstaltungen verordnen, können wir die Zahl der kü…"
Nereacantera,"RT @RaquelBlascoR: La diferencia entre el POR y en CON
Sexto fallecido CON #coronavirus: un anciano de 91 años
https://t.co/kppD4wunFj
Enho…"
AdvisorCFA,"Hey @jimcramer ~3 months after the #COVID19 #coronavirus outbreak in China, far less than 1% of the 11MM residents… https://t.co/8JVQlEtrUa"
cangia48,RT @Reuters: Washington state announces new #coronavirus death. Live updates: https://t.co/LRVB4iB1Qy https://t.co/2Yhb1H4LCi
vielbein,"QT RT @estebanismo: Por si todavía queda algún tonto por ahí de los que dicen que por qué tanto alarmismo con el Coronavirus, que al día muere…"
jhancalvernia,Comunicado #coronavirus #Colombia https://t.co/at6T91zopZ
LauretFlorian,"RT @Punchline_Orel: .@Lacremm 😭😭
#COVIDー19 #coronavirus https://t.co/in5SYKikQB"
EdebaliCebrail,"RT @Iran: Pro-@realDonaldTrump US group moves to prevent medicine sales to Iran

#Iran #CoronaVirus #CoronaVirusIran #UANI

https://t.co/CQ…"
riickyleija,"RT @Pontifex_es: Deseo expresar nuevamente mi apoyo a los enfermos de #coronavirus y a los operadores sanitarios que los cuidan, así como a…"
KarenHinson8,RT @ASBreakingNews: BREAKING: 1st case of #coronavirus in #PERU
girlsreallyrule,"BREAKING: Trump could still own stock in a company that, according to the CDC, will play a major role in providing… https://t.co/qmHncEiuK8"
hecotanog79,"RT @acuariotv: El @MinSaludCol de Colombia, confirma el primer caso del virus COVID-19, la portadora del mismo es una ciudadana proveniente…"
babacar_ibn,"RT @wambedmi: ON GUERIT DU #coronavirus

Au 5 mars 2020, autour de 53 400 guérisons ont été confirmées dans le monde alors que le nombre de…"
johann60000,"RT @SalamiLea: #coronavirus : ""Il faut au maximum éviter de visiter nos anciens"", dit Emmanuel #Macron en visitant nos anciens. https://t.c…"
matthieu_schr,QT RT @BertrandP68: @UHA68 ont fait quoi pour les cours en amphithéâtre du coup ? Et d’ailleurs pour l’accès aux bâtiments en général ? Nous y…
Fareeha786,"RT @bilalmahmooduk: ""Prayers offered properly will keep us physically as well as spiritual clean.""

Caliph &amp; Head of the Worldwide #Ahmadiy…"
Christ_ladyl,"RT @girlsreallyrule: BREAKING: Trump could still own stock in a company that, according to the CDC, will play a major role in providing cor…"
juanki_s,"RT @dmavicente: Soy médico,oncólogo médico, trabajo en un hospital. No tengo nada que recomendar sobre el #coronavirus más allá de lo que d…"
Lucky61mass,RT @LaNotiziaTweet: Un agente della scorta di #Salvini contagiato dal #Coronavirus. E’ in isolamento insieme ad altri colleghi. Nessuna mis…
joialexandrine,QT RT @AlexSeale: A second person dies from #coronavirus in the UK.
curvykitten7,Can all the supermarkets stop letting idiots buy 20 packets of toilet paper.  #Shitheads #coronavirus 😱🤬
bexl888,"RT @AynRandPaulRyan: Trump says he's not going to visit the CDC in Atlanta because someone there was infected with #coronavirus.

Wait, did…"
angelclaverjim1,"RT @carmenrogo10: En mi facultad (FACULTAD DE COMUNICACIÓN) hay una chavala posiblemente contagiada por #coronavirus
Antena 3 ha ido a entr…"
RosaDersim3,"RT @guladersimm: İran’da #Coronavirus yüzünden ölenlerin cesetlerini bu şekilde toprağa veriyorlar.

Çok üzücü 🙏
 https://t.co/gjZC08FQDQ"
